"Note: The report represents net sales that are self-reported by retail marijuana licensees. Information is subject to change due to late reports, corrections or audit findings. This file will be updated by approximately the 10th business day of each month.       ",,,
Last Update: 06/09/2020,,,
,,,
License Number,Reporting Period, Total Sales, Excise Tax Due 
419640,2017-12,"174,568","64,590"
420123,2017-12,"66,759","24,701"
420291,2017-12,"284,420","105,235"
420336,2017-12,"206,182","76,287"
420389,2017-12,"327,910","121,327"
420400,2017-12,"66,409","24,571"
420416,2017-12,"59,348","21,959"
420478,2017-12,"95,738","35,423"
420497,2017-12,"120,049","44,418"
420661,2017-12,"106,923","39,561"
420741,2017-12,"593,926","219,753"
420785,2017-12,"27,531","10,186"
420793,2017-12,"114,137","42,231"
420800,2017-12,"48,379","17,900"
420801,2017-12,"126,673","46,869"
420819,2017-12,"126,982","46,984"
420889,2017-12,"357,598","132,311"
420894,2017-12,"112,328","41,562"
420895,2017-12,"30,531","11,297"
420898,2017-12,"188,129","69,608"
420908,2017-12,"104,990","38,846"
420934,2017-12,"88,971","32,919"
421005,2017-12,"273,766","101,293"
421069,2017-12,"204,378","75,620"
421084,2017-12,"571,893","211,600"
421110,2017-12,"266,521","98,613"
421141,2017-12,"740,012","273,804"
421168,2017-12,"156,104","57,759"
421261,2017-12,"151,360","56,003"
421326,2017-12,"193,348","71,539"
421335,2017-12,"265,611","98,276"
421350,2017-12,"9,464","3,502"
421359,2017-12,"107,886","39,918"
421409,2017-12,"328,826","121,666"
421490,2017-12,"132,860","49,158"
421491,2017-12,"83,692","30,966"
421507,2017-12,"25,894","9,581"
421514,2017-12,"414,691","153,436"
421552,2017-12,"199,838","73,940"
421562,2017-12,"297,151","109,946"
421568,2017-12,"144,134","53,330"
421577,2017-12,"152,977","56,602"
421616,2017-12,"208,174","77,024"
421630,2017-12,"127,722","47,257"
421632,2017-12,194,72
421642,2017-12,"200,907","74,336"
421650,2017-12,"25,695","9,507"
421652,2017-12,"92,704","34,300"
421667,2017-12,"90,336","33,424"
421695,2017-12,"125,796","46,545"
421698,2017-12,"371,855","137,586"
421702,2017-12,"554,623","205,211"
421707,2017-12,"201,073","74,397"
421708,2017-12,"345,067","127,675"
421709,2017-12,"103,968","38,468"
421738,2017-12,"130,995","48,468"
421757,2017-12,"118,842","43,972"
421777,2017-12,"376,409","139,271"
421789,2017-12,"398,724","147,528"
421804,2017-12,"148,649","55,000"
421805,2017-12,"766,334","283,544"
421813,2017-12,"73,511","27,199"
421876,2017-12,"62,814","23,241"
421900,2017-12,"311,847","115,383"
421918,2017-12,"19,317","7,147"
422010,2017-12,"57,464","21,262"
422037,2017-12,"155,595","57,570"
422049,2017-12,"237,301","87,801"
422055,2017-12,"219,192","81,101"
422103,2017-12,"229,236","84,817"
422109,2017-12,"212,681","78,692"
422138,2017-12,"50,968","18,858"
422139,2017-12,"1,415",524
422146,2017-12,"293,928","108,754"
422158,2017-12,"148,149","54,815"
422168,2017-12,"136,352","50,450"
422194,2017-12,"102,229","37,825"
422202,2017-12,"57,736","21,362"
422218,2017-12,"667,975","247,151"
422234,2017-12,"68,388","25,304"
422239,2017-12,"65,219","24,131"
422278,2017-12,"252,345","93,368"
422298,2017-12,"25,650","9,490"
422332,2017-12,"111,344","41,197"
422336,2017-12,"338,427","125,218"
422350,2017-12,"138,844","51,372"
422431,2017-12,"121,437","44,932"
422442,2017-12,"367,904","136,124"
422447,2017-12,"473,634","175,245"
422459,2017-12,"20,549","7,603"
422460,2017-12,"15,211","5,628"
422466,2017-12,"23,816","8,812"
422504,2017-12,"129,095","47,765"
422507,2017-12,"59,012","21,835"
422525,2017-12,"16,682","6,172"
422570,2017-12,"214,205","79,256"
422655,2017-12,"28,287","10,466"
422658,2017-12,"20,611","7,626"
