scrape,wmsite,dateaccess,dispensaryname,address,city,zipcode
127,"http://weedmaps.com/deliveries/northwest-gardens-mill-plain","2016-05-23","Northwest Gardens - Mill Plain","DELIVERY ONLY, Mill Plain, WA 98683","Mill Plain","98683"
101,"http://weedmaps.com/deliveries/northwest-gardens-orchards","2015-11-21","Northwest Gardens - Orchards","DELIVERY ONLY, Orchards, WA 98662","Orchards","98662"
127,"http://weedmaps.com/deliveries/northwest-gardens-orchards","2016-05-22","Northwest Gardens - Orchards","DELIVERY ONLY, Orchards, WA 98662","Orchards","98662"
101,"http://weedmaps.com/deliveries/northwest-gardens-salmon-creek","2015-11-21","Northwest Gardens - Salmon Creek","DELIVERY ONLY, Salmon Creek, WA 98686","Salmon Creek","98686"
127,"http://weedmaps.com/deliveries/northwest-gardens-salmon-creek","2016-05-22","Northwest Gardens - Salmon Creek","DELIVERY ONLY, Salmon Creek, WA 98686","Salmon Creek","98686"
101,"http://weedmaps.com/deliveries/northwest-gardens-vancouver","2015-11-22","Northwest Gardens - Vancouver","DELIVERY ONLY, Vancouver, WA 98662","Vancouver","98662"
127,"http://weedmaps.com/deliveries/northwest-gardens-vancouver","2016-05-23","Northwest Gardens - Vancouver","DELIVERY ONLY, Vancouver, WA 98662","Vancouver","98662"
101,"http://weedmaps.com/deliveries/pacific-green-canyon-drive","2015-11-22","Pacific Green &amp; Delivery","DELIVERIES ONLY, Pacific, WA 98047","Pacific","98047"
101,"http://weedmaps.com/deliveries/pacific-green-delivery","2015-11-22","Pacific Green &amp; Delivery - Auburn","1202 A Street South East, Auburn, Washington 98002","Auburn","98002"
127,"http://weedmaps.com/deliveries/pacific-green-delivery","2016-05-22","Pacific Green & Delivery - Auburn","DELIVERY ONLY, Auburn, Washington 98002","Auburn","98002"
101,"http://weedmaps.com/deliveries/pacific-green-delivery-graham","2015-11-22","Pacific Green &amp; Delivery - Graham","DELIVERIES ONLY, Graham, WA 98338","Graham","98338"
101,"http://weedmaps.com/deliveries/pacific-green-delivery-orting","2015-11-22","Pacific Green &amp; Delivery - Orting","DELIVERIES ONLY, Orting, WA 98360","Orting","98360"
101,"http://weedmaps.com/deliveries/pacific-green-delivery-puyallup","2015-11-22"," Pacific Green &amp; Delivery - Puyallup","DELIVERIES ONLY, Puyallup, WA 98371","Puyallup","98371"
101,"http://weedmaps.com/deliveries/pacific-green-delivery-tacoma","2015-11-22","Pacific Green &amp; Delivery - North Tacoma","DELIVERIES ONLY, Tacoma, WA 98409","Tacoma","98409"
101,"http://weedmaps.com/deliveries/pacific-green-delivery-tacoma-washington","2015-11-21","Pacific Green &amp; Delivery - West End","DELIVERIES ONLY, Tacoma, WA 98407","Tacoma","98407"
101,"http://weedmaps.com/deliveries/pacific-green-kent","2015-11-21","Pacific Green &amp; Delivery - Federal Way","DELIVERIES ONLY, Federal Way, WA 98003","Federal Way","98003"
127,"http://weedmaps.com/deliveries/pacific-green-kent","2016-05-22","Pacific Green & Delivery - Federal Way","DELIVERY ONLY, Federal Way, WA 98003","Federal Way","98003"
101,"http://weedmaps.com/deliveries/pacific-green-kent-renton","2015-11-22","Pacific Green &amp; Delivery - Kent ","DELIVERIES ONLY, Kent, WA 98030","Kent","98030"
101,"http://weedmaps.com/deliveries/pacific-green-milton","2015-11-22","Pacific Green &amp; Delivery - Milton","DELIVERIES ONLY, Milton, WA 98354","Milton","98354"
127,"http://weedmaps.com/deliveries/pacific-green-milton","2016-05-22","Pacific Green & Delivery - Kent","DELIVERY ONLY, Kent, WA 98030","Kent","98030"
101,"http://weedmaps.com/deliveries/pacific-green-somner","2015-11-21","Pacific Green &amp; Delivery - Sumner","DELIVERIES ONLY, Sumner, WA 98390","Sumner","98390"
101,"http://weedmaps.com/deliveries/patients-first-delivery","2015-11-22","Asotin 420 Medical ","None, Asotin, WA 99164","Asotin","99164"
101,"http://weedmaps.com/deliveries/sherman-s-blend-and-cannabis-delivery","2015-11-21","Sherman's Blend and Cannabis Delivery","Deliveries Only, Seattle, Wa 98109","Seattle","98109"
101,"http://weedmaps.com/deliveries/sherman-s-blend-and-cannabis-delivery-2","2015-11-22","Sherman's Blend and Cannabis Delivery","Delivery, Seattle, WA 98103","Seattle","98103"
